,0,1,2,3,4,5,6,7,8,9,10,11
0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1000.0,5.17,1.99,4.22,6.44,11.43,9.19,11.0,7.35,8.05,12.46
2,0,5.17,1000.0,5.98,7.05,9.27,13.4,12.02,13.83,11.05,11.07,17.41
3,0,1.99,5.98,1000.0,2.53,4.75,8.88,7.5,9.31,6.53,6.55,12.75
4,0,4.22,7.05,2.53,1000.0,2.28,6.41,5.03,6.84,5.05,4.08,10.67
5,0,6.44,9.27,4.75,2.28,1000.0,4.17,2.28,4.09,4.38,3.42,9.98
6,0,11.43,13.4,8.88,6.41,4.17,1000.0,4.63,5.64,4.3,3.12,7.66
7,0,9.19,12.02,7.5,5.03,2.28,4.63,1000.0,2.29,5.56,4.59,11.3
8,0,11.0,13.83,9.31,6.84,4.09,5.64,2.29,1000.0,7.37,6.19,12.32
9,0,7.35,11.05,6.53,5.05,4.38,4.3,5.56,7.37,1000.0,1.06,6.38
10,0,8.05,11.07,6.55,4.08,3.42,3.12,4.59,6.19,1.06,1000.0,6.5
11,0,12.46,17.41,12.75,10.67,9.98,7.66,11.3,12.32,6.38,6.5,1000.0
